rank	name	affiliation	citations	scholar_url
95	Demis Hassabis	Google DeepMind	290164	https://scholar.google.com/citations?user=dYpPMQEAAAAJ
96	Bernhard Schölkopf	Max Planck Institute for Intelligent Systems / ELLIS	287530	https://scholar.google.com/citations?user=DZ-fHPgAAAAJ
97	Jitendra Malik	UC Berkeley	278085	https://scholar.google.com/citations?user=aOklxsQAAAAJ
98	Mehdi Mirza	Google DeepMind	258819	https://scholar.google.com/citations?user=c646VbAAAAAJ
99	Thomas Brox	University of Freiburg	235886	https://scholar.google.com/citations?user=0VAe-TQAAAAJ
100	Vincent Vanhoucke	Waymo	231734	https://scholar.google.com/citations?user=T7uctwYAAAAJ
101	Ali Farhadi	University of Washington	221648	https://scholar.google.com/citations?user=jeOFRDsAAAAJ
102	Ming-Wei Chang	Google DeepMind	220992	https://scholar.google.com/citations?user=GiCqMFkAAAAJ
103	Max Welling	University of Amsterdam / CuspAI	218407	https://scholar.google.com/citations?user=8200InoAAAAJ
104	Amanda Askell	Anthropic	214758	https://scholar.google.com/citations?user=NYOJzM4AAAAJ
105	Fabian Pedregosa	Google DeepMind	209080	https://scholar.google.com/citations?user=PJQNw9oAAAAJ
106	Léon Bottou	Flatiron Institute	206574	https://scholar.google.com/citations?user=kbN88gsAAAAJ
107	Kiranjyot Gill	Astrophysicist (Harvard alumni)	203869	https://scholar.google.com/citations?user=BbZK8tQAAAAJ
108	Tomas Mikolov	BottleCap AI	200927	https://scholar.google.com/citations?user=oBu8kMMAAAAJ
109	Man Leong Chan	University of British Columbia	199593	https://scholar.google.com/citations?user=gVJNDCUAAAAJ
110	Dumitru Erhan	Google DeepMind	198864	https://scholar.google.com/citations?user=wfGiqXEAAAAJ
111	Prafulla Dhariwal	OpenAI	198044	https://scholar.google.com/citations?user=0pOgVVAAAAAJ
112	Luke Zettlemoyer	University of Washington / Meta	196627	https://scholar.google.com/citations?user=UjpbO6IAAAAJ
113	Francisco Herrera	Universidad de Granada / DaSCI	195328	https://scholar.google.com/citations?user=HULIk-QAAAAJ
114	Laurens van der Maaten	Anthropic	194537	https://scholar.google.com/citations?user=6GDfcqEAAAAJ
115	John Schulman	Thinking Machines	192906	https://scholar.google.com/citations?user=itSa94cAAAAJ
116	Dacheng Tao	Nanyang Technological University	192044	https://scholar.google.com/citations?user=RwlJNLcAAAAJ
117	Terrence Sejnowski	Salk Institute / UC San Diego	191815	https://scholar.google.com/citations?user=m7LvuTkAAAAJ
118	Girish Sastry	Independent	190747	https://scholar.google.com/citations?user=QJ9ThJ0AAAAJ
119	Richard S. Sutton	Keen / Amii / University of Alberta	187768	https://scholar.google.com/citations?user=6m4wv6gAAAAJ
120	Carlos Guestrin	Stanford University	185893	https://scholar.google.com/citations?user=DpLFv4gAAAAJ
121	Dario Amodei	Anthropic	185125	https://scholar.google.com/citations?user=6-e-ZBEAAAAJ
122	Thomas Davenport	Babson College	184944	https://scholar.google.com/citations?user=QUhNN6QAAAAJ
123	Alex Graves	University of Toronto	184412	https://scholar.google.com/citations?user=DaFHynwAAAAJ
124	Klaus-Robert Müller	TU Berlin / BIFOLD / Korea University	183812	https://scholar.google.com/citations?user=jplQac8AAAAJ
125	Sebastian Thrun	Stanford University	177502	https://scholar.google.com/citations?user=q-buMEoAAAAJ
126	Judea Pearl	UCLA	172092	https://scholar.google.com/citations?user=bAipNH8AAAAJ
127	Qiang Yang (杨强)	Hong Kong PolyU / HKUST (Emeritus)	170459	https://scholar.google.com/citations?user=1LxWZLQAAAAJ
128	Vipin Kumar	University of Minnesota	163512	https://scholar.google.com/citations?user=BnxU9TEAAAAJ
129	Mark DePristo	Ember AI Studio	161348	https://scholar.google.com/citations?user=OXefjc0AAAAJ
130	Rehan Akbani	UT MD Anderson Cancer Center	160861	https://scholar.google.com/citations?user=kyFJh1IAAAAJ
131	Michael J. Pencina	Duke University School of Medicine	159615	https://scholar.google.com/citations?user=I7tckLIAAAAJ
132	Stuart Russell	UC Berkeley	156331	https://scholar.google.com/citations?user=2oy3OXYAAAAJ
133	Joshua B. Tenenbaum	MIT	151902	https://scholar.google.com/citations?user=rRJ9wTJMUB8C
134	Jason Weston	Meta	151560	https://scholar.google.com/citations?user=lMkTx0EAAAAJ
135	David Warde-Farley	Google DeepMind	149795	https://scholar.google.com/citations?user=MOgfm8oAAAAJ
136	Neil Houlsby	Google	149189	https://scholar.google.com/citations?user=sm1-TZMAAAAJ
137	Takeo Kanade	Carnegie Mellon University	147243	https://scholar.google.com/citations?user=askFPfcAAAAJ
138	Ching-Yu Cheng	NUS / Singapore Eye Research Institute	146516	https://scholar.google.com/citations?user=TmFCBzAAAAAJ
139	Sherjil Ozair	Prometheus	145487	https://scholar.google.com/citations?user=O7MZStwAAAAJ
140	Zhifeng Chen	Apple	143698	https://scholar.google.com/citations?user=EemUE4gAAAAJ
141	Alexander Pritzel	Google DeepMind	141311	https://scholar.google.com/citations?user=GPgAyU0AAAAJ
142	C. Lawrence Zitnick	Independent (former Meta)	141301	https://scholar.google.com/citations?user=ZeJjFQMAAAAJ
143	Tom B Brown	Anthropic	141091	https://scholar.google.com/citations?user=RLvsC94AAAAJ
144	Wolfram Burgard	University of Technology Nuremberg	139428	https://scholar.google.com/citations?user=zj6FavAAAAAJ
145	Othmane Rifki	Meta Superintelligence Labs	137586	https://scholar.google.com/citations?user=yDs7dQkAAAAJ
146	Francisco Massa	Facebook AI Research	136250	https://scholar.google.com/citations?user=uWGCQkwAAAAJ
147	Sam McCandlish	Anthropic	135821	https://scholar.google.com/citations?user=gHp0pu4AAAAJ
148	Kaiming He	MIT EECS	841473	https://scholar.google.com/citations?user=DhtAFkwAAAAJ
149	Ross Girshick	Meta AI Research	706686	https://scholar.google.com/citations?user=W8VIEZgAAAAJ
150	Robert Tibshirani	Stanford University	623625	https://scholar.google.com/citations?user=ZpG_cJwAAAAJ
151	Andrew Zisserman	University of Oxford	519855	https://scholar.google.com/citations?user=UZ5wscMAAAAJ
152	Yann LeCun	NYU / Meta AI (Chief AI Scientist)	479047	https://scholar.google.com/citations?user=WLN3QrAAAAAJ
153	Xiangyu Zhang	StepFun	456633	https://scholar.google.com/citations?user=yuB-cfoAAAAJ
154	Trevor Hastie	Stanford University	456204	https://scholar.google.com/citations?user=tQVe-fAAAAAJ
