author	total	models	training	safety	memory	vision	voice	other	scholar_url	affiliation	citations
Shuai Zhang	5	0	1	3	0	1	0	0	https://scholar.google.com/citations?hl=en&user=RsZcMZcAAAAJ	sensetime	141932
Sungsoo Ahn	5	1	2	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=j2XlCXUAAAAJ	Yonsei University College of Medicine	8060
Tianhao Wang	5	1	2	0	0	1	0	1	https://scholar.google.com/citations?hl=en&user=TkgyXGwAAAAJ	University of Virginia	5608
Tommi Jaakkola	5	2	0	0	0	3	0	0	https://scholar.google.com/citations?hl=en&user=Ao4gtsYAAAAJ	MIT	79925
Vahab Mirrokni	5	2	0	0	1	0	0	2	https://scholar.google.com/citations?hl=en&user=opbZfw0AAAAJ	Google Fellow, VP, Google Research	31448
Vaneet Aggarwal	5	1	2	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=Tu4lmGwAAAAJ	Reilly Professor and University Faculty Scholar, Purdue University	11532
Wei Chen	5	2	2	1	0	0	0	0	https://scholar.google.com/citations?hl=en&user=6gtcljAAAAAJ	Graduate Institute of Biomedical Electronics and Bioinformatics, National Taiwan University	156499
Wei-lin Chiang	5	0	2	0	1	0	0	2	https://scholar.google.com/citations?hl=en&user=87nZphcAAAAJ	UC Berkeley	22368
Xi Chen	5	1	2	0	0	2	0	0	https://scholar.google.com/citations?hl=en&user=13Sg29oAAAAJ	The Institute of Optics, University of Rochester	45498
Xi Lin	5	1	1	0	1	0	0	2	https://scholar.google.com/citations?hl=en&user=vVx2v20AAAAJ	Institute of Computing Technology, Chinese Academy of Sciences	51567
Xiaoqiang Lin	5	1	1	0	0	1	0	2	https://scholar.google.com/citations?hl=en&user=nqKwA60AAAAJ	National University of Singapore	470
Xin Geng	5	0	1	1	0	0	0	3	https://scholar.google.com/citations?hl=en&user=ZOCxkIcAAAAJ	School of Computer Science and Engineering, Southeast University	14695
Xin Li	5	1	0	0	0	1	0	3	https://scholar.google.com/citations?hl=en&user=PQWegqYAAAAJ	Sinocloud Wisdom (Beijing) technology co., ltd	46844
Yan Zheng	5	1	2	0	0	1	0	1	https://scholar.google.com/citations?hl=en&user=obwAitsAAAAJ	Meta Platforms, Inc.	43499
Yang Li	5	0	3	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=JURtNb0AAAAJ	ACM Fellow, IEEE Fellow; Professor, CS @USTC, China;	34181
Yang Wang	5	3	1	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=Bd5ItT8AAAAJ	The Pennsylvania State University	51807
Yehui Tang	5	1	1	0	3	0	0	0	https://scholar.google.com/citations?hl=en&user=TkSZQ6gAAAAJ		13476
Yoshua Bengio	5	4	0	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=kukA0LcAAAAJ	Professor of computer science, University of Montreal, Mila, IVADO, CIFAR	1119944
Youhuan Yang	5	4	0	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=jwq0AS4AAAAJ		7
